division_number,date_reported,date_occurred,area,area_name,reporting_district,part,crime_code,crime_description,modus_operandi,victim_age,victim_sex,victim_descent,premise_code,premise_description,weapon_code,weapon_description,status,status_description,crime_code_1,crime_code_2,crime_code_3,crime_code_4,location,cross_street,latitude,longitude,case_number
231614559,01-12-2023,29-11-2023 14:00,16,Foothill,1617,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,43,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740,,,,11000    ORO VISTA                    AV,,34.2724,-118.3243,431
231116358,02-12-2023,01-12-2023 21:27,11,Northeast,1127,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1822 0319 1309 0371,39,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,YORK,MILWAUKEE,34.1185,-118.1918,432
231718672,03-12-2023,29-11-2023 19:21,17,Devonshire,1735,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,0,,,411,PET STORE,,,IC,Invest Cont,442,,,,10800    ZELZAH                       AV,,34.2661,-118.5234,433
231917319,01-12-2023,01-12-2023 12:00,19,Mission,1989,2,624,BATTERY - SIMPLE ASSAULT,0602 0913 0561 2024 0444 0429,35,F,O,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,12800    CANTARA                      ST,,34.2246,-118.4153,434
232018621,02-12-2023,02-12-2023 09:00,20,Olympic,2099,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1300 W  20TH                         ST,,34.0381,-118.284,435
231614619,02-12-2023,02-12-2023 09:30,16,Foothill,1685,2,903,CONTEMPT OF COURT,0913 2038 2021 1810,0,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,903,,,,8200    LANKERSHIM                   BL,,34.2193,-118.3878,436
231016713,03-12-2023,02-12-2023 16:00,10,West Valley,1008,1,310,BURGLARY,1822 0344 1602,51,F,W,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,7600    BALBOA                       BL,,34.2084,-118.5012,437
230125294,01-12-2023,13-10-2023 14:30,1,Central,142,1,440,THEFT PLAIN - PETTY ($950 & UNDER),2032 0344,46,M,H,252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",,,IC,Invest Cont,440,,,,300 S  GRAND                        AV,,34.053,-118.2512,438
231820252,02-12-2023,02-12-2023 19:50,18,Southeast,1824,1,251,SHOTS FIRED AT INHABITED DWELLING,1100 1822 0329,41,F,H,501,SINGLE FAMILY DWELLING,106,UNKNOWN FIREARM,IC,Invest Cont,251,,,,700 E  98TH                         ST,,33.9475,-118.263,439
230717943,04-12-2023,04-12-2023 09:00,7,Wilshire,765,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1402 0334,54,M,H,102,SIDEWALK,217,SWORD,IC,Invest Cont,230,998,,,LA BREA,PICO,34.0479,-118.3447,440
230320694,02-12-2023,02-12-2023 10:30,3,Southwest,311,2,354,THEFT OF IDENTITY,0922 1822 0100 0930,37,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,5500 W  JEFFERSON                    BL,,34.0265,-118.3717,441
231224093,01-12-2023,01-12-2023 17:18,12,77th Street,1266,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,80TH,BROADWAY,33.9669,-118.2783,442
